Quant,Digikey#,Name,Value,Desc
1,240-2399-1-ND,FERRITE,FERRITE,
1,445-1369-1-ND,CAP0805,4.7uf,Capacitor
1,475-1278-1-ND,LED0805,RED,LEDs
1,478-1383-1-ND,CAP_POL,0.01uf,Polarized Capacitor
5,478-1395-1-ND,CAP0805,0.1uF,Capacitor
2,478-1682-1-ND,CAP_POL1210,22UF 16V  478-1682-1-ND,Polarized Capacitor
1,490-1198-1-ND,RESONATORSMD,RESONATORSMD,Resonator
1,490-4611-1-ND,TRIMPOTSMD,TRIMPOTSMD,
1,587-2048-1-ND,INDUCTOR0805,10uH,Inductors
1,668-1110-1-ND,BUZZERSMD,BUZZERSMD,Buzzer 12mm
1,754-1131-1-ND,LED0805,GRN,LEDs
1,768-1007-1-ND,FT232RLSSOP,FT232RLSSOP,FT232RL
1,987-1194-ND,EN12-VS11AFTOPKNOB,EN12-VS11AFTOPKNOB,12mm Rotary Encoder with switch
1,ATMEGA328-AU,ATMEGA168,ATMEGA168,
1,CP-002APJCT-ND,DCJACKSMD,DCJACKSMD,
1,ED2992CT-ND,USBSMD,USBSMD,USB Connectors
1,IFX25001TC V50INCT-ND,IFX25001TC,IFX25001TC,IC REG LDO 5.0V 400MA TO263-3
1,RHM10.0KAECT-ND,RESISTOR0805-RES,10K,Resistor
2,RHM220AECT-ND,RESISTOR0805-RES,220 ohm,Resistor
1,67-1781-ND,16x2 LCD,,
